,Announcement_Date,PURPOSE,REMARKS
299,28-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
300,15-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
301,14-12-2015,Others,Infosys Ltd has informed BSE regarding Infosys Invests in Whoop.
302,10-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
303,09-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
304,08-12-2015,Others,"Infosys Ltd has informed BSE that Dr. Vishal Sikka, CEO & Managing Direc..."
305,07-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
306,01-12-2015,Others,Infosys Ltd has informed BSE that pursuant to SEBI (Listing Obligations ...
307,24-11-2015,Others,Infosys  Ltd has submitted the disclosures under Reg. 29(2) of SEBI  (SA...
308,23-11-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
309,20-11-2015,Others,Infosys  Ltd has submitted the disclosures under Reg. 29(2) of SEBI  (SA...
310,19-11-2015,Others,Infosys Ltd has submitted to BSE a copy of the Statement dated November ...
311,16-11-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
312,19-10-2015,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
313,16-10-2015,Others,Infosys Ltd has submitted to BSE a copy of Press Release dated October  ...
314,12-10-2015,Others,Infosys  Ltd has informed BSE regarding Revised USD and INR  press  rele...
315,21-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
316,18-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
317,16-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
318,15-09-2015,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
319,10-09-2015,Others,Infosys Ltd has informed BSE that U.S. Department of Labor (DOL)  conclu...
320,08-09-2015,Others,MatrixT for Independent Testing ServicesInfosys Ltd has informed BSE reg...
321,02-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
322,26-08-2015,Others,"With  reference to the earlier letter dated August 22, 2014, titled  Gra..."
